loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
235.1683807373047,0.09950000047683716,144.9080352783203,0.09300000220537186,1,DenseNet,RMSprop,batch_size,512,cifar10
27.849510192871094,0.09929999709129333,3.0752387046813965,0.13660000264644623,2,DenseNet,RMSprop,batch_size,512,cifar10
4.186130046844482,0.10672499984502792,2.4266750812530518,0.11699999868869781,3,DenseNet,RMSprop,batch_size,512,cifar10
2.608597755432129,0.10215000063180923,2.302624464035034,0.1006999984383583,4,DenseNet,RMSprop,batch_size,512,cifar10
2.4279332160949707,0.10175000131130219,2.304290533065796,0.10170000046491623,5,DenseNet,RMSprop,batch_size,512,cifar10
2.304098129272461,0.09972500056028366,2.3042988777160645,0.10119999945163727,6,DenseNet,RMSprop,batch_size,512,cifar10
2.313163995742798,0.09830000251531601,2.3027446269989014,0.09910000115633011,7,DenseNet,RMSprop,batch_size,512,cifar10
2.3029792308807373,0.10189999639987946,2.3064377307891846,0.09290000051259995,8,DenseNet,RMSprop,batch_size,512,cifar10
2.3024823665618896,0.10222499817609787,2.302818775177002,0.09889999777078629,9,DenseNet,RMSprop,batch_size,512,cifar10
2.303025007247925,0.10322500020265579,2.303388833999634,0.09290000051259995,10,DenseNet,RMSprop,batch_size,512,cifar10
2.4597890377044678,0.10142499953508377,2.337350606918335,0.10649999976158142,11,DenseNet,RMSprop,batch_size,512,cifar10
2.302236795425415,0.10414999723434448,2.3012983798980713,0.10520000010728836,12,DenseNet,RMSprop,batch_size,512,cifar10
2.301656723022461,0.1114249974489212,2.2991855144500732,0.10369999706745148,13,DenseNet,RMSprop,batch_size,512,cifar10
2.293499708175659,0.11249999701976776,2.2932660579681396,0.10130000114440918,14,DenseNet,RMSprop,batch_size,512,cifar10
2.2955334186553955,0.11932499706745148,2.2983901500701904,0.10790000110864639,15,DenseNet,RMSprop,batch_size,512,cifar10
2.2648401260375977,0.13542500138282776,2.298496961593628,0.09619999676942825,16,DenseNet,RMSprop,batch_size,512,cifar10
2.316648483276367,0.14762499928474426,2.2747128009796143,0.12099999934434891,17,DenseNet,RMSprop,batch_size,512,cifar10
2.247075080871582,0.14544999599456787,2.197901725769043,0.15970000624656677,18,DenseNet,RMSprop,batch_size,512,cifar10
2.192478656768799,0.16005000472068787,2.160313367843628,0.16449999809265137,19,DenseNet,RMSprop,batch_size,512,cifar10
2.178704023361206,0.15957500040531158,2.1429944038391113,0.17299999296665192,20,DenseNet,RMSprop,batch_size,512,cifar10
2.1773927211761475,0.16227500140666962,2.116914749145508,0.17479999363422394,21,DenseNet,RMSprop,batch_size,512,cifar10
2.1543798446655273,0.16519999504089355,2.132295608520508,0.17949999868869781,22,DenseNet,RMSprop,batch_size,512,cifar10
2.1527061462402344,0.16859999299049377,2.1088430881500244,0.18719999492168427,23,DenseNet,RMSprop,batch_size,512,cifar10
2.1388280391693115,0.16897499561309814,2.237659454345703,0.15639999508857727,24,DenseNet,RMSprop,batch_size,512,cifar10
2.1346654891967773,0.1738249957561493,2.0997235774993896,0.17749999463558197,25,DenseNet,RMSprop,batch_size,512,cifar10
2.137239456176758,0.1720999926328659,2.085139513015747,0.1906999945640564,26,DenseNet,RMSprop,batch_size,512,cifar10
2.116396427154541,0.18172499537467957,2.0669028759002686,0.21060000360012054,27,DenseNet,RMSprop,batch_size,512,cifar10
2.127126455307007,0.1823749989271164,2.16780424118042,0.18299999833106995,28,DenseNet,RMSprop,batch_size,512,cifar10
2.1016767024993896,0.1902499943971634,2.0791475772857666,0.1932000070810318,29,DenseNet,RMSprop,batch_size,512,cifar10
2.09790301322937,0.19002500176429749,2.0902559757232666,0.18960000574588776,30,DenseNet,RMSprop,batch_size,512,cifar10
