loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
1.4696685075759888,0.8268749713897705,0.4032876491546631,0.9179166555404663,1,DenseNet,RMSprop,learning_rate,0.001,mnist
0.3856107294559479,0.9203333258628845,0.386900395154953,0.9318333268165588,2,DenseNet,RMSprop,learning_rate,0.001,mnist
0.3545757532119751,0.9315000176429749,0.6054311394691467,0.9454166889190674,3,DenseNet,RMSprop,learning_rate,0.001,mnist
0.34344595670700073,0.937541663646698,0.5867491960525513,0.9492499828338623,4,DenseNet,RMSprop,learning_rate,0.001,mnist
0.4075112044811249,0.937666654586792,0.5516495704650879,0.9235833287239075,5,DenseNet,RMSprop,learning_rate,0.001,mnist
0.4014296531677246,0.9371041655540466,0.5540688037872314,0.9465000033378601,6,DenseNet,RMSprop,learning_rate,0.001,mnist
0.4070148468017578,0.9308750033378601,1.6324840784072876,0.9431666731834412,7,DenseNet,RMSprop,learning_rate,0.001,mnist
0.5855262279510498,0.9174374938011169,0.8179013729095459,0.9178333282470703,8,DenseNet,RMSprop,learning_rate,0.001,mnist
0.5711706876754761,0.9080416560173035,0.6690528392791748,0.921500027179718,9,DenseNet,RMSprop,learning_rate,0.001,mnist
0.6303024888038635,0.9102500081062317,0.9676437377929688,0.9099166393280029,10,DenseNet,RMSprop,learning_rate,0.001,mnist
0.6093543171882629,0.9180625081062317,0.7332772016525269,0.9191666841506958,11,DenseNet,RMSprop,learning_rate,0.001,mnist
0.6805211305618286,0.9119374752044678,2.185554027557373,0.9434999823570251,12,DenseNet,RMSprop,learning_rate,0.001,mnist
0.7689542770385742,0.9182083606719971,1.1903901100158691,0.9172499775886536,13,DenseNet,RMSprop,learning_rate,0.001,mnist
0.7762188911437988,0.9126874804496765,1.7877098321914673,0.8448333144187927,14,DenseNet,RMSprop,learning_rate,0.001,mnist
0.9621430039405823,0.8186041712760925,1.4655423164367676,0.8140000104904175,15,DenseNet,RMSprop,learning_rate,0.001,mnist
0.7951595187187195,0.8117708563804626,1.1774468421936035,0.8246666789054871,16,DenseNet,RMSprop,learning_rate,0.001,mnist
0.8467996716499329,0.7981666922569275,2.6050920486450195,0.8067499995231628,17,DenseNet,RMSprop,learning_rate,0.001,mnist
1.4608904123306274,0.6782708168029785,1.4232823848724365,0.5788333415985107,18,DenseNet,RMSprop,learning_rate,0.001,mnist
1.4008396863937378,0.6272500157356262,2.7574620246887207,0.5950000286102295,19,DenseNet,RMSprop,learning_rate,0.001,mnist
1.8489080667495728,0.606041669845581,2.300590753555298,0.5396666526794434,20,DenseNet,RMSprop,learning_rate,0.001,mnist
1.5932612419128418,0.5954791903495789,2.0527184009552,0.5346666574478149,21,DenseNet,RMSprop,learning_rate,0.001,mnist
1.8881462812423706,0.5817499756813049,1.6476114988327026,0.4424999952316284,22,DenseNet,RMSprop,learning_rate,0.001,mnist
2.2211527824401855,0.5372708439826965,1.7322107553482056,0.5178333520889282,23,DenseNet,RMSprop,learning_rate,0.001,mnist
2.0177388191223145,0.5431666374206543,3.6505231857299805,0.5579166412353516,24,DenseNet,RMSprop,learning_rate,0.001,mnist
2.3041229248046875,0.4391666650772095,2.522258758544922,0.4023333191871643,25,DenseNet,RMSprop,learning_rate,0.001,mnist
2.1539437770843506,0.46914583444595337,1.658844232559204,0.48341667652130127,26,DenseNet,RMSprop,learning_rate,0.001,mnist
2.4299142360687256,0.49808332324028015,3.671862840652466,0.5049166679382324,27,DenseNet,RMSprop,learning_rate,0.001,mnist
2.275238275527954,0.47704166173934937,4.380434989929199,0.4364166557788849,28,DenseNet,RMSprop,learning_rate,0.001,mnist
3.5557150840759277,0.42381250858306885,2.7815184593200684,0.4423333406448364,29,DenseNet,RMSprop,learning_rate,0.001,mnist
2.4579050540924072,0.4375,2.670078992843628,0.37966665625572205,30,DenseNet,RMSprop,learning_rate,0.001,mnist
