loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
5.005293846130371,0.09897500276565552,2.4973537921905518,0.09790000319480896,1,ResNet32,RMSprop,learning_rate,1,cifar10
2.5124735832214355,0.10142499953508377,2.4320733547210693,0.09969999641180038,2,ResNet32,RMSprop,learning_rate,1,cifar10
2.514439344406128,0.09849999845027924,2.602155923843384,0.09790000319480896,3,ResNet32,RMSprop,learning_rate,1,cifar10
2.514136791229248,0.10267499834299088,2.45086669921875,0.10239999741315842,4,ResNet32,RMSprop,learning_rate,1,cifar10
2.5115489959716797,0.1018500030040741,2.426781415939331,0.09870000183582306,5,ResNet32,RMSprop,learning_rate,1,cifar10
2.5138237476348877,0.09889999777078629,2.4831278324127197,0.09870000183582306,6,ResNet32,RMSprop,learning_rate,1,cifar10
2.5154757499694824,0.09724999964237213,2.4388790130615234,0.09889999777078629,7,ResNet32,RMSprop,learning_rate,1,cifar10
2.516218662261963,0.09732499718666077,2.3578598499298096,0.10909999907016754,8,ResNet32,RMSprop,learning_rate,1,cifar10
2.514838933944702,0.09912499785423279,2.779109239578247,0.09969999641180038,9,ResNet32,RMSprop,learning_rate,1,cifar10
2.5163094997406006,0.10132499784231186,2.5470170974731445,0.09790000319480896,10,ResNet32,RMSprop,learning_rate,1,cifar10
2.511761426925659,0.10092499852180481,2.5046846866607666,0.10050000250339508,11,ResNet32,RMSprop,learning_rate,1,cifar10
2.513831853866577,0.09950000047683716,2.4255261421203613,0.10239999741315842,12,ResNet32,RMSprop,learning_rate,1,cifar10
2.514519453048706,0.10159999877214432,2.5338804721832275,0.09969999641180038,13,ResNet32,RMSprop,learning_rate,1,cifar10
2.513042449951172,0.09882500022649765,2.4806737899780273,0.10050000250339508,14,ResNet32,RMSprop,learning_rate,1,cifar10
2.5124216079711914,0.10085000097751617,2.699925184249878,0.10239999741315842,15,ResNet32,RMSprop,learning_rate,1,cifar10
2.510971784591675,0.10145000368356705,2.4522249698638916,0.10050000250339508,16,ResNet32,RMSprop,learning_rate,1,cifar10
2.5135178565979004,0.10122500360012054,2.5273025035858154,0.09939999878406525,17,ResNet32,RMSprop,learning_rate,1,cifar10
2.5127999782562256,0.10072500258684158,2.442939281463623,0.09790000319480896,18,ResNet32,RMSprop,learning_rate,1,cifar10
2.5164835453033447,0.10005000233650208,2.5166947841644287,0.10100000351667404,19,ResNet32,RMSprop,learning_rate,1,cifar10
2.5147881507873535,0.09977500140666962,2.458357572555542,0.10909999907016754,20,ResNet32,RMSprop,learning_rate,1,cifar10
2.513270854949951,0.1006999984383583,2.7687461376190186,0.0925000011920929,21,ResNet32,RMSprop,learning_rate,1,cifar10
2.5141053199768066,0.10077500343322754,3.1700921058654785,0.10090000182390213,22,ResNet32,RMSprop,learning_rate,1,cifar10
2.51438307762146,0.0988750010728836,2.521595001220703,0.09239999949932098,23,ResNet32,RMSprop,learning_rate,1,cifar10
2.5148682594299316,0.10045000165700912,2.579055070877075,0.09239999949932098,24,ResNet32,RMSprop,learning_rate,1,cifar10
2.5143308639526367,0.10017500072717667,2.4150173664093018,0.09969999641180038,25,ResNet32,RMSprop,learning_rate,1,cifar10
2.517165184020996,0.0988750010728836,2.419663667678833,0.09939999878406525,26,ResNet32,RMSprop,learning_rate,1,cifar10
2.5095930099487305,0.10085000097751617,2.493824005126953,0.10090000182390213,27,ResNet32,RMSprop,learning_rate,1,cifar10
2.5166542530059814,0.09987500309944153,2.5828335285186768,0.10090000182390213,28,ResNet32,RMSprop,learning_rate,1,cifar10
2.511181592941284,0.10225000232458115,2.6331284046173096,0.10909999907016754,29,ResNet32,RMSprop,learning_rate,1,cifar10
2.5133719444274902,0.10055000334978104,2.6224660873413086,0.10050000250339508,30,ResNet32,RMSprop,learning_rate,1,cifar10
