loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
83.05278778076172,0.10277500003576279,2.3027968406677246,0.09939999878406525,1,DenseNet,RMSprop,batch_size,128,cifar10
2.459193468093872,0.09582500159740448,2.3029112815856934,0.09790000319480896,2,DenseNet,RMSprop,batch_size,128,cifar10
2.4805266857147217,0.09849999845027924,2.3033719062805176,0.09969999641180038,3,DenseNet,RMSprop,batch_size,128,cifar10
2.3027760982513428,0.10092499852180481,2.3030428886413574,0.09260000288486481,4,DenseNet,RMSprop,batch_size,128,cifar10
2.3027055263519287,0.10042499750852585,2.3030102252960205,0.09260000288486481,5,DenseNet,RMSprop,batch_size,128,cifar10
2.3026623725891113,0.09974999725818634,2.3029215335845947,0.10080000013113022,6,DenseNet,RMSprop,batch_size,128,cifar10
2.302638530731201,0.09995000064373016,2.3029911518096924,0.10080000013113022,7,DenseNet,RMSprop,batch_size,128,cifar10
2.3026227951049805,0.09962499886751175,2.303175687789917,0.0925000011920929,8,DenseNet,RMSprop,batch_size,128,cifar10
2.302612543106079,0.10147500038146973,2.303072929382324,0.09790000319480896,9,DenseNet,RMSprop,batch_size,128,cifar10
2.302612543106079,0.09929999709129333,2.30310320854187,0.0925000011920929,10,DenseNet,RMSprop,batch_size,128,cifar10
2.3026185035705566,0.09960000216960907,2.3030450344085693,0.0925000011920929,11,DenseNet,RMSprop,batch_size,128,cifar10
2.3026065826416016,0.10092499852180481,2.302989959716797,0.0925000011920929,12,DenseNet,RMSprop,batch_size,128,cifar10
2.302614688873291,0.10152500122785568,2.303025960922241,0.0925000011920929,13,DenseNet,RMSprop,batch_size,128,cifar10
2.302612066268921,0.1005999967455864,2.3029260635375977,0.0925000011920929,14,DenseNet,RMSprop,batch_size,128,cifar10
2.3026020526885986,0.09955000132322311,2.3030169010162354,0.0925000011920929,15,DenseNet,RMSprop,batch_size,128,cifar10
2.3026106357574463,0.1008249968290329,2.303039073944092,0.0925000011920929,16,DenseNet,RMSprop,batch_size,128,cifar10
2.302603006362915,0.10005000233650208,2.303006410598755,0.0925000011920929,17,DenseNet,RMSprop,batch_size,128,cifar10
2.3025946617126465,0.10095000267028809,2.30305814743042,0.0925000011920929,18,DenseNet,RMSprop,batch_size,128,cifar10
2.302602529525757,0.09997499734163284,2.3030405044555664,0.0925000011920929,19,DenseNet,RMSprop,batch_size,128,cifar10
2.3026041984558105,0.10189999639987946,2.3030357360839844,0.0925000011920929,20,DenseNet,RMSprop,batch_size,128,cifar10
2.3026070594787598,0.10057500004768372,2.3030309677124023,0.0925000011920929,21,DenseNet,RMSprop,batch_size,128,cifar10
2.3026041984558105,0.10100000351667404,2.3029680252075195,0.0925000011920929,22,DenseNet,RMSprop,batch_size,128,cifar10
2.3025929927825928,0.09905000030994415,2.3031206130981445,0.0925000011920929,23,DenseNet,RMSprop,batch_size,128,cifar10
2.3026041984558105,0.10157500207424164,2.3030338287353516,0.0925000011920929,24,DenseNet,RMSprop,batch_size,128,cifar10
2.302593231201172,0.10062500089406967,2.3030953407287598,0.0925000011920929,25,DenseNet,RMSprop,batch_size,128,cifar10
2.302600860595703,0.10109999775886536,2.3030202388763428,0.0925000011920929,26,DenseNet,RMSprop,batch_size,128,cifar10
2.3026010990142822,0.1006999984383583,2.3030543327331543,0.0925000011920929,27,DenseNet,RMSprop,batch_size,128,cifar10
2.3025832176208496,0.10087499767541885,2.3029696941375732,0.0925000011920929,28,DenseNet,RMSprop,batch_size,128,cifar10
2.3025941848754883,0.09884999692440033,2.3030412197113037,0.0925000011920929,29,DenseNet,RMSprop,batch_size,128,cifar10
2.3025877475738525,0.10125000029802322,2.3030481338500977,0.0925000011920929,30,DenseNet,RMSprop,batch_size,128,cifar10
