loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
159.3242645263672,0.10464999824762344,10.688374519348145,0.09709999710321426,1,DenseNet,RMSprop,batch_size,256,cifar10
9.479394912719727,0.10145000368356705,2.3033573627471924,0.09950000047683716,2,DenseNet,RMSprop,batch_size,256,cifar10
2.8313097953796387,0.10000000149011612,2.3028564453125,0.09969999641180038,3,DenseNet,RMSprop,batch_size,256,cifar10
2.3026602268218994,0.09822499752044678,2.3030126094818115,0.0925000011920929,4,DenseNet,RMSprop,batch_size,256,cifar10
2.3026299476623535,0.10102500021457672,2.3029935359954834,0.0925000011920929,5,DenseNet,RMSprop,batch_size,256,cifar10
2.302618980407715,0.10077500343322754,2.3030242919921875,0.0925000011920929,6,DenseNet,RMSprop,batch_size,256,cifar10
2.3026280403137207,0.10172499716281891,2.3029682636260986,0.0925000011920929,7,DenseNet,RMSprop,batch_size,256,cifar10
2.30263090133667,0.10092499852180481,2.303006172180176,0.0925000011920929,8,DenseNet,RMSprop,batch_size,256,cifar10
2.302623748779297,0.10154999792575836,2.3029911518096924,0.0925000011920929,9,DenseNet,RMSprop,batch_size,256,cifar10
2.3026227951049805,0.10187499970197678,2.3030717372894287,0.0925000011920929,10,DenseNet,RMSprop,batch_size,256,cifar10
2.3026320934295654,0.10187499970197678,2.3030340671539307,0.0925000011920929,11,DenseNet,RMSprop,batch_size,256,cifar10
2.3026247024536133,0.1016250029206276,2.303028106689453,0.0925000011920929,12,DenseNet,RMSprop,batch_size,256,cifar10
2.302621364593506,0.10187499970197678,2.303086042404175,0.0925000011920929,13,DenseNet,RMSprop,batch_size,256,cifar10
2.302619457244873,0.10187499970197678,2.303112030029297,0.0925000011920929,14,DenseNet,RMSprop,batch_size,256,cifar10
2.302619457244873,0.10187499970197678,2.3030545711517334,0.0925000011920929,15,DenseNet,RMSprop,batch_size,256,cifar10
2.302624464035034,0.10177499800920486,2.3030357360839844,0.0925000011920929,16,DenseNet,RMSprop,batch_size,256,cifar10
2.3026227951049805,0.10107500106096268,2.3030333518981934,0.0925000011920929,17,DenseNet,RMSprop,batch_size,256,cifar10
2.3026232719421387,0.10187499970197678,2.303095817565918,0.0925000011920929,18,DenseNet,RMSprop,batch_size,256,cifar10
2.302619457244873,0.10187499970197678,2.3030903339385986,0.0925000011920929,19,DenseNet,RMSprop,batch_size,256,cifar10
2.302624464035034,0.10187499970197678,2.3031363487243652,0.0925000011920929,20,DenseNet,RMSprop,batch_size,256,cifar10
2.302619218826294,0.10187499970197678,2.3030734062194824,0.0925000011920929,21,DenseNet,RMSprop,batch_size,256,cifar10
2.302619457244873,0.10187499970197678,2.3030102252960205,0.0925000011920929,22,DenseNet,RMSprop,batch_size,256,cifar10
2.302616596221924,0.10187499970197678,2.3029909133911133,0.0925000011920929,23,DenseNet,RMSprop,batch_size,256,cifar10
2.302619695663452,0.10187499970197678,2.3030829429626465,0.0925000011920929,24,DenseNet,RMSprop,batch_size,256,cifar10
2.3026187419891357,0.10164999961853027,2.3030519485473633,0.0925000011920929,25,DenseNet,RMSprop,batch_size,256,cifar10
2.302619218826294,0.10187499970197678,2.30303692817688,0.0925000011920929,26,DenseNet,RMSprop,batch_size,256,cifar10
2.3026185035705566,0.10187499970197678,2.3030381202697754,0.0925000011920929,27,DenseNet,RMSprop,batch_size,256,cifar10
2.302623987197876,0.10187499970197678,2.303030014038086,0.0925000011920929,28,DenseNet,RMSprop,batch_size,256,cifar10
2.30261492729187,0.10187499970197678,2.303115129470825,0.0925000011920929,29,DenseNet,RMSprop,batch_size,256,cifar10
2.3026235103607178,0.10187499970197678,2.3030624389648438,0.0925000011920929,30,DenseNet,RMSprop,batch_size,256,cifar10
