loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
1.6377952098846436,0.4102250039577484,1.5142964124679565,0.4564000070095062,1,ResNet32,RMSprop,learning_rate,0.0001,cifar10
1.270216464996338,0.5438249707221985,1.420444130897522,0.5072000026702881,2,ResNet32,RMSprop,learning_rate,0.0001,cifar10
1.0778719186782837,0.6146500110626221,1.1822530031204224,0.5875999927520752,3,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.9272732138633728,0.6703000068664551,1.1955890655517578,0.5956000089645386,4,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.8078460693359375,0.7166749835014343,1.235840082168579,0.5821999907493591,5,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.7000495195388794,0.7537500262260437,1.1143510341644287,0.6227999925613403,6,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.597376823425293,0.7893999814987183,1.1182399988174438,0.6438999772071838,7,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.5137209296226501,0.8172249794006348,1.593451976776123,0.5600000023841858,8,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.4351576566696167,0.8468250036239624,1.22279691696167,0.6394000053405762,9,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.3725447952747345,0.8681250214576721,1.3477654457092285,0.6381000280380249,10,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.31203001737594604,0.8893499970436096,1.357103943824768,0.6340000033378601,11,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.2726322412490845,0.9035999774932861,1.4833152294158936,0.6272000074386597,12,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.2347637265920639,0.9172750115394592,1.7016609907150269,0.6182000041007996,13,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.2086784839630127,0.9264000058174133,1.6051864624023438,0.6450999975204468,14,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.18678118288516998,0.9351750016212463,1.8377666473388672,0.6205000281333923,15,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.1712927520275116,0.9392750263214111,1.9425477981567383,0.6114000082015991,16,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.1569085270166397,0.9457749724388123,2.0510976314544678,0.5976999998092651,17,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.15039847791194916,0.9486500024795532,1.7451667785644531,0.6345000267028809,18,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.1422054022550583,0.9503999948501587,2.0360562801361084,0.6043000221252441,19,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.13559596240520477,0.9517750144004822,2.0703155994415283,0.618399977684021,20,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.12276095151901245,0.9567000269889832,1.9207099676132202,0.6255999803543091,21,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.117568239569664,0.9592499732971191,1.9111392498016357,0.6333000063896179,22,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.1128586158156395,0.9610999822616577,1.9794881343841553,0.6258999705314636,23,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.10430871695280075,0.9631249904632568,1.7862141132354736,0.6589000225067139,24,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.1062651127576828,0.9631249904632568,1.8433939218521118,0.6473000049591064,25,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.10357346385717392,0.9638500213623047,1.9133661985397339,0.6467000246047974,26,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.10089670121669769,0.9656999707221985,2.6314756870269775,0.590399980545044,27,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.09532446414232254,0.9670249819755554,2.08300518989563,0.6194999814033508,28,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.09293916821479797,0.9674000144004822,2.222602367401123,0.6118000149726868,29,ResNet32,RMSprop,learning_rate,0.0001,cifar10
0.08817584067583084,0.9695000052452087,2.450998544692993,0.614799976348877,30,ResNet32,RMSprop,learning_rate,0.0001,cifar10
