loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
1.7900614738464355,0.36410000920295715,3.7329776287078857,0.1746000051498413,1,ResNet32,Adam,batch_size,256,cifar10
1.361801028251648,0.5033249855041504,1.5188862085342407,0.4494999945163727,2,ResNet32,Adam,batch_size,256,cifar10
1.1173591613769531,0.5950999855995178,1.4024492502212524,0.5065000057220459,3,ResNet32,Adam,batch_size,256,cifar10
0.9359885454177856,0.6650750041007996,1.3470040559768677,0.5435000061988831,4,ResNet32,Adam,batch_size,256,cifar10
0.8202829957008362,0.7073500156402588,1.0112231969833374,0.6445000171661377,5,ResNet32,Adam,batch_size,256,cifar10
0.7273516058921814,0.7424499988555908,1.1203765869140625,0.633899986743927,6,ResNet32,Adam,batch_size,256,cifar10
0.6625096201896667,0.7643250226974487,1.0936166048049927,0.6360999941825867,7,ResNet32,Adam,batch_size,256,cifar10
0.5955798625946045,0.7888000011444092,0.9407657384872437,0.6898000240325928,8,ResNet32,Adam,batch_size,256,cifar10
0.5322009325027466,0.810949981212616,0.9882175922393799,0.6834999918937683,9,ResNet32,Adam,batch_size,256,cifar10
0.4858289062976837,0.8292499780654907,0.8826203942298889,0.7146999835968018,10,ResNet32,Adam,batch_size,256,cifar10
0.4447169899940491,0.8439249992370605,0.9202117323875427,0.6988000273704529,11,ResNet32,Adam,batch_size,256,cifar10
0.3959102928638458,0.8604999780654907,0.7184780836105347,0.7648000121116638,12,ResNet32,Adam,batch_size,256,cifar10
0.361780047416687,0.8710749745368958,0.9553655982017517,0.7250999808311462,13,ResNet32,Adam,batch_size,256,cifar10
0.32760101556777954,0.8828999996185303,0.9303516745567322,0.7281000018119812,14,ResNet32,Adam,batch_size,256,cifar10
0.287771999835968,0.8981000185012817,1.0291435718536377,0.7224000096321106,15,ResNet32,Adam,batch_size,256,cifar10
0.2523387670516968,0.9102500081062317,1.5064678192138672,0.6507999897003174,16,ResNet32,Adam,batch_size,256,cifar10
0.23947785794734955,0.9148749709129333,1.0007798671722412,0.7301999926567078,17,ResNet32,Adam,batch_size,256,cifar10
0.20077089965343475,0.9285749793052673,1.1349326372146606,0.7300000190734863,18,ResNet32,Adam,batch_size,256,cifar10
0.18430568277835846,0.9343000054359436,1.1421915292739868,0.733299970626831,19,ResNet32,Adam,batch_size,256,cifar10
0.16079692542552948,0.943149983882904,1.0319085121154785,0.7519000172615051,20,ResNet32,Adam,batch_size,256,cifar10
0.15291845798492432,0.9448750019073486,1.0552171468734741,0.7529000043869019,21,ResNet32,Adam,batch_size,256,cifar10
0.12822219729423523,0.9549999833106995,1.1463613510131836,0.7387999892234802,22,ResNet32,Adam,batch_size,256,cifar10
0.12505929172039032,0.9559749960899353,1.205435037612915,0.7563999891281128,23,ResNet32,Adam,batch_size,256,cifar10
0.10013686120510101,0.964775025844574,1.2158935070037842,0.7444000244140625,24,ResNet32,Adam,batch_size,256,cifar10
0.09722933173179626,0.9660249948501587,1.1805535554885864,0.7587000131607056,25,ResNet32,Adam,batch_size,256,cifar10
0.08750206232070923,0.9692500233650208,1.2913004159927368,0.7495999932289124,26,ResNet32,Adam,batch_size,256,cifar10
0.0851794183254242,0.9693250060081482,1.18788480758667,0.7552000284194946,27,ResNet32,Adam,batch_size,256,cifar10
0.08034299314022064,0.9710999727249146,1.922340989112854,0.6890000104904175,28,ResNet32,Adam,batch_size,256,cifar10
0.07699620723724365,0.9717749953269958,1.2996094226837158,0.7461000084877014,29,ResNet32,Adam,batch_size,256,cifar10
0.06697492301464081,0.9759500026702881,1.2415869235992432,0.7608000040054321,30,ResNet32,Adam,batch_size,256,cifar10
