loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
227.6853485107422,0.09925000369548798,2.3063268661499023,0.09969999641180038,1,DenseNet,RMSprop,learning_rate,0.01,cifar10
5.568906784057617,0.09799999743700027,2.3044018745422363,0.09939999878406525,2,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3037474155426025,0.1008249968290329,2.3045077323913574,0.0925000011920929,3,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040125370025635,0.09977500140666962,2.3046371936798096,0.10090000182390213,4,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3039839267730713,0.09984999895095825,2.3045029640197754,0.09870000183582306,5,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040268421173096,0.10137499868869781,2.3061983585357666,0.09790000319480896,6,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3041317462921143,0.09860000014305115,2.303622007369995,0.10050000250339508,7,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.303838014602661,0.09832499921321869,2.3025243282318115,0.10909999907016754,8,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040969371795654,0.09622500091791153,2.3034605979919434,0.09790000319480896,9,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3036677837371826,0.10275000333786011,2.306678056716919,0.09969999641180038,10,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040995597839355,0.09925000369548798,2.3033316135406494,0.10239999741315842,11,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3039183616638184,0.09830000251531601,2.304978609085083,0.09939999878406525,12,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3041398525238037,0.09852500259876251,2.304337978363037,0.10050000250339508,13,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.304013252258301,0.09629999846220016,2.304685115814209,0.09889999777078629,14,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040382862091064,0.09974999725818634,2.30316162109375,0.10050000250339508,15,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.303875684738159,0.0989999994635582,2.3061068058013916,0.0925000011920929,16,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040225505828857,0.09947499632835388,2.3051669597625732,0.09870000183582306,17,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.304011106491089,0.09917499870061874,2.304436683654785,0.0925000011920929,18,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040378093719482,0.1004749983549118,2.3038854598999023,0.09969999641180038,19,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.303985118865967,0.0979750007390976,2.303835153579712,0.09969999641180038,20,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.303995132446289,0.0986500009894371,2.3063502311706543,0.09870000183582306,21,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3037891387939453,0.09839999675750732,2.3047847747802734,0.09939999878406525,22,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3039286136627197,0.10080000013113022,2.3036105632781982,0.0925000011920929,23,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040316104888916,0.09769999980926514,2.3042728900909424,0.09889999777078629,24,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3038790225982666,0.09860000014305115,2.304032564163208,0.09790000319480896,25,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.304136037826538,0.0957999974489212,2.305054187774658,0.09790000319480896,26,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.304211378097534,0.09622500091791153,2.3044731616973877,0.09870000183582306,27,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.3040194511413574,0.09814999997615814,2.303344249725342,0.10050000250339508,28,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.304091215133667,0.09777499735355377,2.304126262664795,0.09969999641180038,29,DenseNet,RMSprop,learning_rate,0.01,cifar10
2.304035186767578,0.09905000030994415,2.3031277656555176,0.10239999741315842,30,DenseNet,RMSprop,learning_rate,0.01,cifar10
